age,birth_place,division,fight_time_avg,fighting_style,first_round_finishes,height,knockdown_avg,ko_wins,name,nickname,octagon_debut,pos_clinch_pct,pos_ground_pct,pos_stand_pct,reach,record,sig_strikes_absorbed_per_min,sig_strikes_accuracy_pct,sig_strikes_landed_per_min,slug,status,submission_avg,takedown_avg,takedown_defense_pct,target_body_pct,target_head_pct,target_leg_pct,weight,wins_dec,wins_ko_tko,wins_sub
39,États-Unis,Poids plume Division,N/A,N/A,N/A,73.00,N/A,N/A,Pablo Garza,"""The Scarecrow""","Dec. 5, 2010",N/A,N/A,N/A,N/A,13-4-0 (W-L-D),N/A,N/A,N/A,pablo-garza,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,146.00,N/A,N/A,N/A
33,Russia,Poids mi-lourds Division,11:49,MMA,6,75.00,0.56,11,Magomed Ankalaev,N/A,"Mar. 17, 2018",73 (11%),127 (18%),490 (71%),46.00,21-2-1 (W-L-D),2.59,53%,690,magomed-ankalaev,Actif,0.00,88%,N/A,27%,56%,17%,204.50,10 (48%),11 (52%),0 (0%)
30,Nicaragua,Poids coq Division,08:47,N/A,N/A,68.00,0.00,N/A,Leonardo Morales,"""Chimmy""","Nov. 15, 2014",4 (11%),4 (11%),28 (78%),68.00,5-2-0 (W-L-D),2.05,47%,36,leonardo-morales,Ne se bat pas,0.00,63%,N/A,31%,36%,33%,137.00,1 (20%),3 (60%),1 (20%)
29,"Beaufort, United States",Poids moyens Division,11:07,MMA,11,74.00,0.28,6,Brendan Allen,"""All In""","Oct. 18, 2019",53 (7%),129 (17%),577 (76%),42.00,26-7-0 (W-L-D),3.62,53%,759,brendan-allen,Actif,1.14,57%,N/A,22%,65%,13%,185.00,6 (23%),6 (23%),14 (54%)
31,"San Antonio, United States",Poids mi-lourds Division,04:29,MMA,11,74.00,0.84,7,Jordan Wright,"""The Beverly Hills Ninja""","Aug. 22, 2020",57 (39%),24 (16%),66 (45%),41.00,12-5-0 (W-L-D),6.03,57%,147,jordan-wright,Ne se bat pas,0.42,100%,N/A,37%,56%,7%,204.00,0 (0%),7 (58%),5 (42%)
36,United States,Poids coq Division,09:46,N/A,N/A,67.00,0.38,N/A,Russell Doane,N/A,"Jan. 4, 2014",25 (18%),45 (33%),67 (49%),37.50,15-8-0 (W-L-D),1.68,41%,137,russell-doane,Ne se bat pas,0.77,53%,N/A,18%,75%,7%,136.00,3 (20%),7 (47%),5 (33%)
32,"Rockville, United States",Poids mi-moyens Division,10:49,Freestyle,3,73.00,1.26,6,Matthew Semelsberger,"""Semi the Jedi""","Aug. 22, 2020",36 (8%),54 (12%),359 (80%),41.00,11-8-0 (W-L-D),4.24,43%,449,matthew-semelsberger,Ne se bat pas,0.38,46%,N/A,17%,65%,18%,171.00,4 (36%),6 (55%),1 (9%)
33,"Clarksville, United States",Poids mi-lourds Division,15:00,N/A,N/A,73.00,0.00,N/A,Cameron Olson,"""Cap'n Crunch""","Aug. 15, 2017",36 (77%),2 (4%),9 (19%),75.00,8-3-0 (W-L-D),2.20,47%,47,cameron-olson,Ne se bat pas,1.00,100%,N/A,9%,38%,53%,205.00,2 (25%),1 (13%),5 (63%)
32,"New Haven, United States",Poids plume Division,07:45,MMA,8,66.00,0.00,8,Don Shainis,"""Shameless""","Oct. 1, 2022",16 (30%),7 (13%),30 (57%),36.00,12-5-0 (W-L-D),5.87,50%,53,don-shainis,Ne se bat pas,1.94,20%,N/A,38%,49%,13%,146.00,3 (23%),8 (62%),2 (15%)
29,"Rosarito, Mexico",Poids plume Division,07:13,N/A,N/A,68.00,0.52,5,Martin Bravo,"""El Toro""","Nov. 6, 2016",10 (5%),7 (3%),204 (92%),38.00,12-3-0 (W-L-D),5.72,40%,221,martin-bravo,Ne se bat pas,0.00,86%,N/A,20%,73%,7%,144.00,2 (17%),5 (42%),5 (42%)
44,États-Unis,Poids mi-moyens Division,N/A,N/A,N/A,70.00,N/A,N/A,Duane Ludwig,"""Bang""","Apr. 25, 2003",N/A,N/A,N/A,N/A,29-14-0 (W-L-D),N/A,N/A,N/A,duane-ludwig,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,169.00,N/A,N/A,N/A
31,"Belo Horizonte, Brazil",Poids moyens Division,15:00,N/A,N/A,74.00,0.00,N/A,Bruno Assis,N/A,"Oct. 21, 2025",2 (11%),2 (11%),15 (79%),N/A,0-0-0 (W-L-D),3.20,43%,19,bruno-assis,Ne se bat pas,1.00,67%,N/A,26%,68%,5%,185.00,0 (0 %),0 (0 %),0 (0 %)
53,États-Unis,Poids moyens Division,N/A,N/A,N/A,68.00,N/A,N/A,Eugene Jackson,"""The Wolf""","Jul. 16, 1999",N/A,N/A,N/A,N/A,1-5-0 (W-L-D),N/A,N/A,N/A,eugene-jackson,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,185.00,N/A,N/A,N/A
45,United States,Poids moyens Division,06:03,N/A,N/A,73.00,0.00,N/A,Antwain Britt,"""The Juggernaut""","Oct. 20, 2025",3 (11%),7 (25%),18 (64%),N/A,0-0-0 (W-L-D),2.81,39%,28,antwain-britt,Ne se bat pas,0.00,50%,N/A,4%,89%,7%,185.00,0 (0 %),0 (0 %),0 (0 %)
27,"Chita, Russia",Poids moyens Division,12:10,MMA,5,76.00,0.41,5,Andrey Pulyaev,N/A,"Mar. 22, 2025",29 (21%),14 (10%),96 (69%),41.50,10-3-0 (W-L-D),3.51,60%,139,andrey-pulyaev,Actif,0.00,64%,N/A,25%,68%,6%,185.00,2 (22%),5 (56%),2 (22%)
N/A,Brésil,Poids mi-moyens Division,N/A,N/A,N/A,68.00,N/A,N/A,Rousimar Palhares,"""Toquinho""","May. 24, 2008",N/A,N/A,N/A,71.00,24-5-0 (W-L-D),N/A,N/A,N/A,rousimar-palhares,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,171.00,N/A,N/A,N/A
43,"Round Lake, États-Unis",Poids légers Division,N/A,Style libre,N/A,67.00,N/A,N/A,Clay Guida,"""The Carpenter""","Oct. 14, 2006",N/A,N/A,N/A,38.00,38-22-0 (W-L-D),N/A,N/A,N/A,clay-guida,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,155.00,N/A,N/A,N/A
N/A,Arménie,Poids légers Division,N/A,N/A,N/A,71.00,N/A,N/A,Sako Chivitchian,"""The Psycho""","Dec. 5, 2010",N/A,N/A,N/A,N/A,5-1-0 (W-L-D),N/A,N/A,N/A,sako-chivitchian,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,156.00,N/A,N/A,N/A
24,"Maceió, Brazil",Poids mouche Division,15:00,Muay Thai,3,67.00,0.00,2,Felipe dos Santos,"""Lipe Detona""","Sep. 10, 2023",18 (8%),21 (9%),186 (83%),38.00,8-3-0 (W-L-D),3.80,39%,225,felipe-dos-santos,Ne se bat pas,0.50,20%,N/A,26%,53%,21%,125.00,3 (38%),2 (25%),3 (38%)
N/A,"Iowa City, United States",Poids moyens Division,04:40,N/A,N/A,72.00,0.00,N/A,Joe Vedepo,"""The Doctor""","Sep. 17, 2008",9 (45%),2 (10%),9 (45%),N/A,9-3-0 (W-L-D),5.71,43%,20,joe-vedepo,Ne se bat pas,0.00,N/A,N/A,20%,80%,0%,185.00,0 (0 %),0 (0 %),0 (0 %)
58,Brazil,,00:00,N/A,N/A,N/A,N/A,N/A,Eldo Xavier Dias,N/A,"Oct. 21, 2025",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,eldo-xavier-dias,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,N/A,0 (0 %),0 (0 %),0 (0 %)
42,"Atlanta, United States",Poids mi-moyens Division,10:43,N/A,N/A,73.00,0.00,N/A,Jason Miller,"""Mayhem""","Apr. 16, 2005",39 (19%),73 (35%),98 (47%),N/A,24-10-0 (W-L-D),2.30,44%,210,jason-miller,Ne se bat pas,1.31,44%,N/A,28%,61%,11%,185.00,0 (0 %),0 (0 %),0 (0 %)
27,"Mexico City, Mexico",Poids coq Division,11:33,N/A,6,65.00,0.43,10,David Martinez,"""Doctor""","Mar. 29, 2025",7 (4%),8 (5%),153 (91%),37.50,13-1-0 (W-L-D),2.95,47%,168,david-martinez,Actif,0.00,100%,N/A,10%,57%,33%,135.50,3 (23%),10 (77%),0 (0%)
41,"Bamberg, États-Unis",Poids mi-lourds Division,N/A,N/A,N/A,69.00,N/A,N/A,Rodney Wallace,"""Shonuff The Master""","Dec. 5, 2009",N/A,N/A,N/A,N/A,9-2-0 (W-L-D),N/A,N/A,N/A,rodney-wallace,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,206.00,N/A,N/A,N/A
35,"Bluefield, United States",Poids mi-moyens Division,13:26,N/A,N/A,70.00,0.42,N/A,Sean Spencer,N/A,"Jan. 26, 2013",49 (11%),16 (4%),391 (86%),41.00,12-6-0 (W-L-D),4.02,32%,456,sean-spencer,Ne se bat pas,0.00,69%,N/A,17%,76%,7%,170.00,6 (60%),2 (20%),2 (20%)
31,"Iasi, Romania",Poids mi-moyens Division,06:45,Muay Thai,3,73.00,0.00,8,Daniel Frunza,N/A,"Apr. 5, 2025",8 (9%),11 (13%),66 (78%),41.00,9-3-0 (W-L-D),6.67,40%,85,daniel-frunza,Actif,0.00,60%,N/A,11%,74%,15%,170.50,1 (11%),8 (89%),0 (0%)
27,Kyrgyzstan,Poids mi-moyens Division,04:50,MMA,7,70.00,0.00,6,Myktybek Orolbai,N/A,"Nov. 18, 2023",0 (0%),1 (25%),3 (75%),39.50,14-2-1 (W-L-D),5.70,50%,4,myktybek-orolbai,Actif,0.00,N/A,N/A,25%,50%,25%,165.00,3 (27%),6 (55%),2 (18%)
33,"Bath, United Kingdom",Poids mi-moyens Division,11:38,N/A,N/A,73.00,0.32,N/A,Bradley Scott,"""Bear""","Dec. 16, 2012",47 (14%),13 (4%),267 (82%),44.00,12-6-0 (W-L-D),4.31,42%,327,bradley-scott,Ne se bat pas,0.65,64%,N/A,23%,61%,16%,171.00,2 (17%),5 (42%),5 (42%)
33,"Burlington, United States",Heavyweight Division,06:06,MMA,N/A,75.00,0.00,5,Allen Crowder,"""Pretty Boy""","Aug. 29, 2017",6 (8%),27 (38%),39 (54%),42.50,10-4-0 (W-L-D),2.95,51%,72,allen-crowder,Retraité,1.23,100%,N/A,11%,67%,22%,255.00,1 (11%),5 (56%),3 (33%)
28,"Marsala, Italy",Poids légers Division,04:17,MMA,N/A,72.00,0.00,6,Danilo Belluardo,"""Caterpillar""","Jun. 1, 2019",0 (0%),5 (38%),8 (62%),39.00,12-5-0 (W-L-D),4.79,62%,13,danilo-belluardo,Ne se bat pas,0.00,50%,N/A,0%,69%,31%,156.00,3 (25%),6 (50%),3 (25%)
27,"Nowy Sącz, Poland",Poids plume Division,15:00,MMA,2,70.00,0.00,3,Robert Ruchala,"""Faker""","Sep. 6, 2025",7 (21%),0 (0%),27 (79%),N/A,11-2-0 (W-L-D),3.27,35%,34,robert-ruchala,Actif,0.00,N/A,N/A,47%,41%,12%,146.00,5 (45%),3 (27%),3 (27%)
46,"Maryville, États-Unis",Heavyweight Division,N/A,N/A,N/A,79.00,N/A,N/A,Brad Imes,N/A,"Nov. 5, 2005",N/A,N/A,N/A,N/A,6-3-0 (W-L-D),N/A,N/A,N/A,brad-imes,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,261.00,N/A,N/A,N/A
N/A,"Bettendorf, États-Unis",Poids mi-moyens Division,N/A,N/A,N/A,0.00,N/A,N/A,Ben Earwood,N/A,"Nov. 17, 2000",N/A,N/A,N/A,N/A,0-0-0 (W-L-D),N/A,N/A,N/A,ben-earwood,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,169.00,N/A,N/A,N/A
34,"Grosny, Russia",Poids légers Division,08:42,N/A,N/A,69.00,0.77,N/A,Mairbek Taisumov,"""Beckan""","Jan. 4, 2014",13 (6%),23 (10%),197 (85%),40.50,27-6-0 (W-L-D),3.03,39%,233,mairbek-taisumov,Ne se bat pas,0.00,88%,N/A,17%,62%,21%,156.00,2 (8%),16 (62%),8 (31%)
34,"Edinburgh, United Kingdom",Poids plume Division,05:03,MMA,5,72.00,1.49,5,Danny Henry,"""The Hatchet""","Jul. 16, 2017",6 (6%),38 (36%),61 (58%),40.00,12-4-0 (W-L-D),4.16,52%,105,danny-henry,Actif,2.23,50%,N/A,21%,70%,9%,146.00,2 (17%),5 (42%),5 (42%)
